category,amt,cnt,year_month
간이주점,52431602119.0,1096567.0,202403
고기요리,118123451867.0,1976940.0,202403
닭/오리요리,56242288718.0,1807386.0,202403
별식/퓨전요리,35152737040.0,1416651.0,202403
분식,53907064388.0,3790824.0,202403
양식,24460061624.0,692001.0,202403
일식/수산물,94109803758.0,1850475.0,202403
제과/제빵/떡/케익,57177267624.0,4341832.0,202403
중식,35794603304.0,1474104.0,202403
커피/음료,101778319009.0,11397209.0,202403
패스트푸드,39968414806.0,3291194.0,202403
한식,339585242586.0,10384592.0,202403
간이주점,50914161219.0,1105663.0,202404
고기요리,111611418334.0,1926515.0,202404
닭/오리요리,55099906673.0,1755207.0,202404
별식/퓨전요리,33227810833.0,1372670.0,202404
분식,54557936529.0,3872237.0,202404
양식,22478954872.0,676252.0,202404
일식/수산물,87098114398.0,1774593.0,202404
제과/제빵/떡/케익,53364900478.0,4246852.0,202404
중식,32405474580.0,1375352.0,202404
커피/음료,104627586564.0,12419220.0,202404
패스트푸드,39770894037.0,3379193.0,202404
한식,325700050547.0,10341412.0,202404
간이주점,52873629038.0,1147466.0,202405
고기요리,117845740822.0,1980412.0,202405
닭/오리요리,58875718371.0,1819818.0,202405
별식/퓨전요리,37526967749.0,1493056.0,202405
분식,56448338819.0,3876039.0,202405
양식,23982899704.0,684965.0,202405
일식/수산물,92282724339.0,1799038.0,202405
제과/제빵/떡/케익,55746998897.0,4298785.0,202405
중식,34248546752.0,1398074.0,202405
커피/음료,106694648203.0,12402470.0,202405
패스트푸드,39416366828.0,3291815.0,202405
한식,343377426690.0,10559287.0,202405
간이주점,51149287186.0,1139140.0,202406
고기요리,106374766969.0,1862509.0,202406
닭/오리요리,57453531653.0,1794467.0,202406
별식/퓨전요리,35699132519.0,1445109.0,202406
분식,54320323907.0,3664249.0,202406
양식,21752682986.0,648145.0,202406
일식/수산물,81932056831.0,1662015.0,202406
제과/제빵/떡/케익,49917359331.0,3994840.0,202406
중식,31885998610.0,1356638.0,202406
커피/음료,106944110926.0,12674932.0,202406
패스트푸드,37131327586.0,3192119.0,202406
한식,318450020609.0,10036606.0,202406
간이주점,49708406081.0,1100353.0,202407
고기요리,104361008313.0,1842806.0,202407
닭/오리요리,60338873868.0,1832620.0,202407
별식/퓨전요리,38509837803.0,1565669.0,202407
분식,52669249425.0,3607202.0,202407
양식,22062392788.0,648356.0,202407
일식/수산물,80143188269.0,1614225.0,202407
제과/제빵/떡/케익,48777675305.0,3931924.0,202407
중식,32547025460.0,1380139.0,202407
커피/음료,103735066458.0,12265391.0,202407
패스트푸드,36816263395.0,3124529.0,202407
한식,314106893524.0,9943199.0,202407
간이주점,51165780697.0,1117141.0,202408
고기요리,108936865916.0,1873778.0,202408
닭/오리요리,56805167431.0,1731275.0,202408
별식/퓨전요리,41714506411.0,1651719.0,202408
분식,55819031265.0,3671132.0,202408
양식,23958555173.0,671813.0,202408
일식/수산물,87787205037.0,1718514.0,202408
제과/제빵/떡/케익,51085148130.0,4044423.0,202408
중식,33733646762.0,1391986.0,202408
커피/음료,109729270424.0,12977031.0,202408
패스트푸드,39660600510.0,3293322.0,202408
한식,330948419498.0,10305267.0,202408
간이주점,48831866228.0,1058548.0,202409
고기요리,100601732830.0,1704192.0,202409
닭/오리요리,48639941624.0,1523919.0,202409
별식/퓨전요리,43291222255.0,1671480.0,202409
분식,50012047173.0,3373321.0,202409
양식,21065828148.0,594254.0,202409
일식/수산물,89419828286.0,1747500.0,202409
제과/제빵/떡/케익,55834506982.0,4177190.0,202409
중식,32391082449.0,1327299.0,202409
커피/음료,101941662447.0,12034048.0,202409
패스트푸드,38135609758.0,3188993.0,202409
한식,314081717382.0,9658244.0,202409
간이주점,49043724302.0,1064519.0,202410
고기요리,105181757247.0,1847105.0,202410
닭/오리요리,51846308220.0,1671388.0,202410
별식/퓨전요리,50292641557.0,1963505.0,202410
분식,54078215157.0,3785723.0,202410
양식,22705300280.0,660108.0,202410
일식/수산물,91879536142.0,1844834.0,202410
제과/제빵/떡/케익,55405094301.0,4411189.0,202410
중식,34533945143.0,1435081.0,202410
커피/음료,100945775934.0,11846864.0,202410
패스트푸드,39862279867.0,3357649.0,202410
한식,327510653841.0,10389846.0,202410
간이주점,45724080497.0,963530.0,202411
고기요리,101641855073.0,1738451.0,202411
닭/오리요리,47385488543.0,1529444.0,202411
별식/퓨전요리,49223927005.0,1896675.0,202411
분식,48202271172.0,3406410.0,202411
양식,21481046845.0,591800.0,202411
일식/수산물,88898703311.0,1768495.0,202411
제과/제빵/떡/케익,53776887806.0,4161701.0,202411
중식,33262625588.0,1355391.0,202411
커피/음료,91426527435.0,10457150.0,202411
패스트푸드,37137990704.0,3030655.0,202411
한식,303734556720.0,9477507.0,202411
간이주점,48639059499.0,950508.0,202412
고기요리,111283357740.0,1752566.0,202412
닭/오리요리,48760404604.0,1514869.0,202412
별식/퓨전요리,55021745697.0,2011011.0,202412
분식,47767665818.0,3260964.0,202412
양식,27730939856.0,637263.0,202412
일식/수산물,101593713484.0,1821597.0,202412
제과/제빵/떡/케익,59954986506.0,4322491.0,202412
중식,35036872400.0,1330960.0,202412
커피/음료,94119817187.0,10172230.0,202412
패스트푸드,38047980570.0,2961144.0,202412
한식,322689666026.0,9520102.0,202412
간이주점,40050445639.0,795803.0,202501
고기요리,90681904677.0,1447396.0,202501
닭/오리요리,39764703754.0,1236764.0,202501
별식/퓨전요리,46570084226.0,1657379.0,202501
분식,40863479714.0,2649103.0,202501
양식,22516087832.0,544410.0,202501
일식/수산물,78204069482.0,1473701.0,202501
제과/제빵/떡/케익,51512288627.0,3736433.0,202501
중식,30860425565.0,1146443.0,202501
커피/음료,82244757528.0,8784166.0,202501
패스트푸드,35217520315.0,2760756.0,202501
한식,276336177471.0,8238023.0,202501
간이주점,34968139501.0,695327.0,202502
고기요리,79591000353.0,1310777.0,202502
닭/오리요리,36531675414.0,1130823.0,202502
별식/퓨전요리,42033852325.0,1521387.0,202502
분식,38061453491.0,2506149.0,202502
양식,20547065580.0,520264.0,202502
일식/수산물,65516078119.0,1264827.0,202502
제과/제빵/떡/케익,44310956238.0,3302073.0,202502
중식,28165170203.0,1083131.0,202502
커피/음료,74549183677.0,8038182.0,202502
패스트푸드,32008929457.0,2533557.0,202502
한식,266933498800.0,8024252.0,202502
간이주점,41865186414.0,834570.0,202503
고기요리,97994432806.0,1590355.0,202503
닭/오리요리,44561449179.0,1355544.0,202503
