year_month,age_group,sex,card_tpbuz_nm_2,amt,cnt
202205,50대,M,한식,47460974639,1333987
202205,60대 이상,F,간이주점,821399112,25040
202205,60대 이상,F,고기요리,9688690984,237682
202205,60대 이상,F,디저트/음료,8987517879,672929
202205,60대 이상,F,별식/퓨전요리,1465602258,70087
202205,60대 이상,F,분식,2868495089,205473
202205,60대 이상,F,양식,814115978,24772
202205,60대 이상,F,일식/수산물,7086565565,172994
202205,60대 이상,F,중식,1369007439,59608
202205,60대 이상,F,패스트푸드,1315728708,111293
202205,60대 이상,F,한식,21592610110,648596
202205,60대 이상,M,간이주점,1948252668,51014
202205,60대 이상,M,고기요리,15029518152,351657
202205,60대 이상,M,디저트/음료,8628589038,613545
202205,60대 이상,M,별식/퓨전요리,2476081104,125366
202205,60대 이상,M,분식,3662588606,249631
202205,60대 이상,M,양식,944802217,29032
202205,60대 이상,M,일식/수산물,10738224671,224113
202205,60대 이상,M,중식,2386973225,113894
202205,60대 이상,M,패스트푸드,1506725937,127916
202205,60대 이상,M,한식,31252607833,931710
202206,30대,F,간이주점,3574604668,86838
202206,30대,F,고기요리,11653788453,270311
202206,30대,F,디저트/음료,16134277052,1672510
202206,30대,F,별식/퓨전요리,1945816041,86209
202206,30대,F,분식,3859380413,305431
202206,30대,F,양식,2164806487,64022
202206,30대,F,일식/수산물,5075479627,109697
202206,30대,F,중식,1978852488,80122
202206,30대,F,패스트푸드,3796191881,332572
202206,30대,F,한식,20180578768,667673
202206,30대,M,간이주점,8532783943,178952
202206,30대,M,고기요리,23159161082,468722
202206,30대,M,디저트/음료,16857563653,1765985
202206,30대,M,별식/퓨전요리,3225841918,147290
202206,30대,M,분식,5034630345,366490
202206,30대,M,양식,3250966710,91929
202206,30대,M,일식/수산물,9561708662,165560
202206,30대,M,중식,4132210853,160656
202206,30대,M,패스트푸드,5428183029,482816
202206,30대,M,한식,35479588377,1020626
202206,40대,F,간이주점,3656623997,94601
202206,40대,F,고기요리,16901824152,414698
202206,40대,F,디저트/음료,20876951145,2036621
202206,40대,F,별식/퓨전요리,2655922388,118868
202206,40대,F,분식,6245119968,486734
202206,40대,F,양식,2712232429,88654
202206,40대,F,일식/수산물,7664429674,171798
202206,40대,F,중식,3051063360,139027
